front_signer,epoch,n,victims,usd
Hhp73fHNQEsJmXHTY8qFNpC4GD8wjioJiaWSXxhjws3d,960,1,1,-0.030436230567025824
HjHdXifEnorRY2hTh4NyXNtyTCHqdAd5o4kbEG78bC23,957,1,1,-0.03639763301575005
HkactS6jaQBjXuppbtTW1H777uLDSYMdXTHnU531Qu6i,959,1,1,-0.030890535595081703
HktUxVzujK4mR14vnJyLBWCF3spcXoMP9ReeTGwbwYEQ,957,1,1,-0.011028867491862937
HmAf2HDdcHxsMfbzv77QZsXqCQb2cpv7S5BN9bCvrbVj,958,1,1,-0.14947885715057563
Hmr4xax2hwNQxfD6z6CYFKkEQRFy7Q8qDTvSWrppLuap,950,1,1,-0.17936547061672137
HnBcEKEFymvof3pWyjwmcoSCM2Jqe46RysEBKhrMRip1,960,1,1,-0.2796315318904341
Ho9htA1uYhMxnCjWvJCj4J4prQL8xv8HGfFgsdZ5oGtv,960,1,1,-0.020512244292127946
Hp93eVthr3H4ZoQS95zw7ygrBnSBvyLUHuXiEWgqgqq1,949,1,1,-0.4560652929636788
HfhGDNXza1KkbskJ9Y3pNcqr8VraAXDZUYNPCY3DKvRR,946,1,1,-0.08044309442848174
GwQgonT5bS2TGtmc3QdRso6kLa2u6wbtp8w8DcVj7oQZ,957,1,2,0.10393878177096028
GxP5nm9V2Kf9hs3A4QuGEQf6dcwKxFPKKTf5eyem6pEk,959,1,2,-0.028618991149206296
GzEZS7EJXLqRTf8v1YyinwDeyVVCfXq1HLW8CNJmXkuC,958,1,2,0.0008178879981794035
GzFVNHQYeks1K7F7R7GmNDxMXZfrS13GZXgbSNVg8vZY,950,1,1,-0.29784121342911973
GzhvPfUdcfwZhA96iG1hnYcsZ9fkKVdhDtGm6SnQ6kSo,960,1,1,-0.028629937352142587
H14ArgNGhCbkUiVDFgr8mXtLauNDvbSc5eHzRXxvdEMB,959,1,2,0.1684056417980173
H1ZRAmaipQPKy2VCzWx33JpH7hsTXdNzcRByTxNkRPuX,951,1,1,-0.0038949507009805595
